UCMP #,L -SPEC,STRAT (cm),PS,DSP,PT,CT,CSTRAT,ISTRAT,YEAR,INT,REGURG
,485,386.5,1.5,2,5,2,370.45,416.8,13638.672,13750,
,486,470.6,1,        .   ,        .   ,        .   ,453.25,334,10957.368,11000,
,487,367.9,1,1,5,2,351.8,435.45,14242.613,14250,
,488,369.8,1,1,        .   ,        .   ,353.7,433.55,14181.085,14250,
,489,369.9,1,        .   ,        .   ,        .   ,353.8,433.45,14177.847,14250,
,490,470.8,        .   ,        .   ,        .   ,        .   ,453.45,333.8,10950.891,11000,
,491,518.5,3,2,5,3,495.7,291.55,9582.713,9750,
,492,429.1,1,2,5,3,412.5,374.75,12276.971,12500,
,493,518.5,3,2,5,3,495.7,291.55,9582.713,9750,
,494,515.5,3,1,6,4,492.7,294.55,9679.862,9750,
,495,372.3,1,1,5,2,356.2,431.05,14100.128,14250,
,496,470.2,        .   ,        .   ,        .   ,        .   ,452.85,334.4,10970.321,11000,4
,497,471,3,        .   ,        .   ,        .   ,453.65,333.6,10944.414,11000,
,498,438.5,        .   ,        .   ,        .   ,        .   ,421.85,365.4,11974.191,12000,
,499,375.5,1,1,5,2,359.4,427.85,13996.503,14000,
,500,371.5,1,2,5,2,355.4,431.85,14126.034,14250,
,501,581.4,3,2,5,2,555.5,231.75,7646.216,7750,
,502,471.6,        .   ,        .   ,        .   ,        .   ,454.25,333,10924.985,11000,4
,503,584.6,3,3,5,3,558.7,228.55,7542.591,7750,
,504,586.9,3,3,        .   ,        .   ,561,226.25,7468.11,7500,
,505,374.9,1,1,5,2,358.8,428.45,14015.933,14250,
,506,585.9,3,        .   ,        .   ,        .   ,560,227.25,7500.493,7750,
,507,389.1,        .   ,        .   ,        .   ,        .   ,373.05,414.2,13554.476,13750,
,508,427.6,        .   ,        .   ,        .   ,        .   ,411,376.25,12325.545,12500,
,509,585.9,3,3,        .   ,        .   ,560,227.25,7500.493,7750,
,510,587.9,3,3,        .   ,        .   ,562,225.25,7435.727,7500,
,511,587.9,3,2,        .   ,        .   ,562,225.25,7435.727,7500,
,512.1,477.9,3,1,5,2,460.55,326.7,10720.972,10750,
,512.2,477.9,1,1,5,2,460.55,326.7,10720.972,10750,
,513,588.8,3,2,6,3,562.9,224.35,7406.582,7500,
,514,375.4,1,2,6,2,359.3,427.95,13999.741,14000,
,515,589.5,3,2,6,2,563.6,223.65,7383.914,7500,
,516,477.6,3,1,6,4,460.25,327,10730.687,10750,3
,517,387.1,1,2,5,3,371.05,416.2,13619.242,13750,
,518,379.1,2,2,5,3,363.05,424.2,13878.305,14000,
,519,430.8,1.8,0,5,3,414.2,373.05,12221.92,12250,
,520,476.7,        .   ,        .   ,        .   ,        .   ,459.35,327.9,10759.832,11000,
,521,376.8,1,1,5,0,360.7,426.55,13954.405,14000,
,522,476.7,1,1,5,2,459.35,327.9,10759.832,11000,
,523,477.9,2.2,1,5,3,460.55,326.7,10720.972,10750,
,524,375.4,        .   ,1,5,2,359.3,427.95,13999.741,14000,
,525,454.5,3,2,7,3,437.7,349.55,11460.922,11500,
,526,590.1,3,2,6,4,564.2,223.05,7364.485,7500,
,527.1,590,3,2,5,2,564.1,223.15,7367.723,7500,
,527.2,590,3,3,6,4,564.1,223.15,7367.723,7500,
,528,477.9,3,1,5,2,460.55,326.7,10720.972,10750,
,529,477.9,3,2,5,2,460.55,326.7,10720.972,10750,
,530,589.7,3,2,5,2,563.8,223.45,7377.438,7500,
,531,477.9,3,        .   ,        .   ,        .   ,460.55,326.7,10720.972,10750,
,532,472.3,1,1,6,3,454.95,332.3,10902.317,11000,2
,533,371.8,        .   ,        .   ,        .   ,        .   ,355.7,431.55,14116.32,14250,3
,534,477.9,2.4,1,6,2,460.55,326.7,10720.972,10750,
,535,375.8,1,1,5,2,359.7,427.55,13986.788,14000,
,536,595.9,3,0,5,3,570.1,217.15,7173.425,7250,
,537,554.7,3,1,5,2,528.8,258.45,8510.839,8750,
,538,372.7,1,2,6,3,356.6,430.65,14087.175,14250,
,539,477.9,3,1,6,3,460.55,326.7,10720.972,10750,
,540,372.1,1,        .   ,        .   ,        .   ,356,431.25,14106.605,14250,
,541,373.9,1,        .   ,        .   ,        .   ,357.8,429.45,14048.316,14250,
,542,395.5,1,        .   ,        .   ,        .   ,379.45,407.8,13347.226,13500,3
,543,369.1,1,1,5,3,353,434.25,14203.753,14250,
,544,395.4,1.8,1,6,3,379.35,407.9,13350.464,13500,
,545,376.3,        .   ,        .   ,        .   ,        .   ,360.2,427.05,13970.597,14000,2
,546,376.7,1,1,6,2,360.6,426.65,13957.643,14000,
,547,514.7,3,2,6,3,491.9,295.35,9705.768,9750,
,548,395.8,2,1,6,2,379.75,407.5,13337.511,13500,
,549,376.1,        .   ,        .   ,        .   ,        .   ,360,427.25,13977.073,14000,
,550,597,3,2,6,3,571.2,216.05,7137.804,7250,
,551,516.5,3,3,5,2,493.7,293.55,9647.479,9750,
,552,477.5,3,1,5,2,460.15,327.1,10733.925,10750,2
,553.1,596.7,3,        .   ,        .   ,        .   ,570.9,216.35,7147.519,7250,
,553.2,596.7,3,2,        .   ,        .   ,570.9,216.35,7147.519,7250,
,554,399.8,1,1,5,2,383.75,403.5,13207.979,13250,
,555,399.8,1,1,5,1,383.75,403.5,13207.979,13250,
,556,399.2,1,1,5,3,383.15,404.1,13227.409,13250,
,557,397.9,1,1,6,2,381.85,405.4,13269.507,13500,
,558,398,3,1,5,2,381.95,405.3,13266.268,13500,
,559,398,1,1,5,3,381.95,405.3,13266.268,13500,
,560,395.6,1,0,5,2,379.55,407.7,13343.987,13500,
,561,370.4,1,        .   ,        .   ,        .   ,354.3,432.95,14161.656,14250,
,562,372,3,1,5,2,355.9,431.35,14109.843,14250,
,563,376.7,1.4,2,5,2,360.6,426.65,13957.643,14000,
,564,375.6,1,2,6,3,359.5,427.75,13993.265,14000,
,565,374.5,        .   ,        .   ,        .   ,        .   ,358.4,428.85,14028.886,14250,
,566,376.6,2,2,5,3,360.5,426.75,13960.882,14000,
,567,539.1,2.4,1,        .   ,        .   ,513.3,273.95,9012.774,9250,
,568,557.7,3,        .   ,        .   ,        .   ,531.8,255.45,8413.691,8500,
,569,378.1,2.2,3,5,3,362,425.25,13912.307,14000,
,570,440.2,2,1,        .   ,        .   ,423.55,363.7,11919.14,12000,
,571,371.3,1,3,6,2,355.2,432.05,14132.511,14250,3
,572,485.3,        .   ,        .   ,        .   ,        .   ,467.95,319.3,10481.339,10500,
,573,440.6,2,2,5,3,423.95,363.3,11906.187,12000,
,574,400.5,1,2,5,3,384.45,402.8,13185.311,13250,
,575,439.5,1,1,5,2,422.85,364.4,11941.808,12000,
,576,602.1,3,2,6,4,576.3,210.95,6972.651,7000,
,577,373,1,2,5,3,356.9,430.35,14077.46,14250,
,578,396.3,2,1,5,2,380.25,407,13321.319,13500,
,579,372.3,        .   ,        .   ,        .   ,        .   ,356.2,431.05,14100.128,14250,
,580,372.3,1,2,5,2,356.2,431.05,14100.128,14250,
,581,373.4,1,1,5,2,357.3,429.95,14064.507,14250,
,582,543.7,3,1,5,2,517.9,269.35,8863.813,9000,
,583,564.3,0,1,5,3,538.4,248.85,8199.963,8250,
,584,399.5,2.2,        .   ,        .   ,        .   ,383.45,403.8,13217.694,13250,
,585,602.1,3,1,        .   ,        .   ,576.3,210.95,6972.651,7000,2
,586,375.8,1,1,5,2,359.7,427.55,13986.788,14000,
,587,602.1,3,1,6,3,576.3,210.95,6972.651,7000,
,588,378.1,1,2,6,3,362,425.25,13912.307,14000,
,589,561.1,3,1,5,2,535.2,252.05,8303.589,8500,
,590,602.1,3,3,6,4,576.3,210.95,6972.651,7000,
,591,484.6,        .   ,        .   ,        .   ,        .   ,467.25,320,10504.007,10750,
,592,441.1,2.2,1,6,2,424.45,362.8,11889.995,12000,
,593,483.1,1,0,5,2,465.75,321.5,10552.581,10750,
,594,399.5,1,1,        .   ,        .   ,383.45,403.8,13217.694,13250,
,595,598.1,3,3,6,3,572.3,214.95,7102.183,7250,
,596,368.2,1,        .   ,        .   ,        .   ,352.1,435.15,14232.898,14250,
,597,598.1,3,2,5,2,572.3,214.95,7102.183,7250,
,598,605.5,3,3,6,4,579.1,208.15,6881.979,7000,
,599,369.6,1,        .   ,        .   ,        .   ,353.5,433.75,14187.562,14250,
,600,369.7,        .   ,2,6,2,353.6,433.65,14184.324,14250,
,601,368.8,1,2,5,2,352.7,434.55,14213.468,14250,
,602,597.6,3,2,6,2,571.8,215.45,7118.375,7250,
,603,372.2,3,1,5,2,356.1,431.15,14103.366,14250,
,604,486.5,1,2,5,2,469.15,318.1,10442.479,10500,
,605,370,1,1,        .   ,        .   ,353.9,433.35,14174.609,14250,
,606,605.8,3,1,5,2,579.4,207.85,6872.264,7000,
,607,604.8,        .   ,        .   ,        .   ,        .   ,578.4,208.85,6904.647,7000,
,608,370,1,        .   ,        .   ,        .   ,353.9,433.35,14174.609,14250,
,609,605.9,3,1,5,2,579.5,207.75,6869.026,7000,
,610,486.5,1,2,5,3,469.15,318.1,10442.479,10500,
,611,394,1,        .   ,        .   ,        .   ,377.95,409.3,13395.8,13500,
,612.1,396.9,1,2,6,3,380.85,406.4,13301.89,13500,
,612.2,396.9,1,1,6,1,380.85,406.4,13301.89,13500,
,613,482.6,        .   ,1,5,2,465.25,322,10568.773,10750,
,614,369.4,1,        .   ,        .   ,        .   ,353.3,433.95,14194.039,14250,
,615,397,        .   ,        .   ,        .   ,        .   ,380.95,406.3,13298.651,13500,
,616,442.8,1,2,5,3,426.15,361.1,11834.944,12000,
,617,396.5,1,1,        .   ,        .   ,380.45,406.8,13314.843,13500,
,618,372.2,1,1,6,4,356.1,431.15,14103.366,14250,
,619,601.8,3,2,6,4,576,211.25,6982.366,7000,
,620,486.8,2.6,1,6,2,469.45,317.8,10432.765,10500,
,621,399.6,2,1,5,2,383.55,403.7,13214.456,13250,
,622,559.3,3,2,5,2,533.4,253.85,8361.878,8500,
,623,367.4,1,1,5,2,351.3,435.95,14258.804,14500,
,624,443.4,0,1,5,3,426.75,360.5,11815.514,12000,
,625,486.7,        .   ,        .   ,        .   ,        .   ,469.35,317.9,10436.003,10500,
,626,563.4,        .   ,        .   ,        .   ,        .   ,537.5,249.75,8229.108,8250,
,627,398,1,2,6,4,381.95,405.3,13266.268,13500,
,628,372.1,1,1,5,3,356,431.25,14106.605,14250,
,629,373.3,        .   ,        .   ,        .   ,        .   ,357.2,430.05,14067.745,14250,
,630,487.5,3,1,6,2,470,317.25,10414.954,10500,
,631,602.5,3,3,6,3,576.7,210.55,6959.698,7000,
,632,394.5,2.2,2,6,2,378.45,408.8,13379.609,13500,
,633,374.3,3,        .   ,        .   ,        .   ,358.2,429.05,14035.362,14250,
,634,487.7,1,1,5,3,470.2,317.05,10408.477,10500,
,635,464,3,1,5,3,447.2,340.05,11153.284,11250,
,636,602.8,3,3,6,4,577,210.25,6949.983,7000,
,637,375,        .   ,        .   ,        .   ,        .   ,358.9,428.35,14012.694,14250,
,638,487.4,3,2,5,2,470.05,317.2,10413.335,10500,2
,639.1,375,1,1,5,2,358.9,428.35,14012.694,14250,
,639.2,375,1,2,6,2,358.9,428.35,14012.694,14250,
,640,376.8,1,1,5,2,360.7,426.55,13954.405,14000,
,641,604.1,3,2,        .   ,        .   ,578.3,208.95,6907.886,7000,
,642,397.5,        .   ,        .   ,        .   ,        .   ,381.45,405.8,13282.46,13500,
,643.1,560.6,3,1,5,2,534.7,252.55,8319.78,8500,
,643.2,560.6,3,1,5,3,534.7,252.55,8319.78,8500,
,644,487.9,        .   ,2,5,2,470.4,316.85,10402.001,10500,
,645,603.5,3,3,6,4,577.7,209.55,6927.315,7000,
,646,371.6,2.2,        .   ,        .   ,        .   ,355.5,431.75,14122.796,14250,
,647,        .   ,        .   ,        .   ,        .   ,        .   ,        .   ,        .   ,        .   ,        .   ,
,648,563.6,        .   ,        .   ,        .   ,        .   ,537.7,249.55,8222.631,8250,
,649,400.2,1,        .   ,        .   ,        .   ,384.15,403.1,13195.026,13250,
,650,444.5,1,        .   ,        .   ,        .   ,427.85,359.4,11779.893,12000,
,651,376.1,1,2,5,3,360,427.25,13977.073,14000,
,652,486.9,        .   ,        .   ,        .   ,        .   ,469.55,317.7,10429.526,10500,2
,653,604.4,3,        .   ,        .   ,        .   ,578,209.25,6917.601,7000,
,654,603.5,3,3,6,4,577.7,209.55,6927.315,7000,
,655,399.5,        .   ,3,6,4,383.45,403.8,13217.694,13250,
,656.1,380.7,1,1,5,2,364.65,422.6,13826.493,14000,
,656.2,380.7,1.4,2,5,3,364.65,422.6,13826.493,14000,
,657,379.9,1,0,5,2,363.85,423.4,13852.399,14000,
,658,605.9,3,2,5,3,579.5,207.75,6869.026,7000,
,659,495.6,3,1,5,2,477.4,309.85,10175.32,10250,
,660,381.3,3,        .   ,        .   ,        .   ,365.25,422,13807.063,14000,3
,661,379.8,1,2,5,3,363.75,423.5,13855.637,14000,
,662,494.1,3,3,6,4,475.9,311.35,10223.895,10250,
,663,395.5,2.2,1,5,2,379.45,407.8,13347.226,13500,
,664,394,        .   ,2,5,3,377.95,409.3,13395.8,13500,
,665,563.3,3,1,        .   ,        .   ,537.4,249.85,8232.346,8250,
,666,588.3,3,1,5,3,562.4,224.85,7422.774,7500,
,667,487.6,3,1,5,2,470.1,317.15,10411.716,10500,
,668,447.5,        .   ,        .   ,        .   ,        .   ,430.7,356.55,11687.602,11750,
,669,587.6,        .   ,        .   ,        .   ,        .   ,561.7,225.55,7445.442,7500,
,670,564.8,3,1,5,2,538.9,248.35,8183.772,8250,
,671,587.6,3,1,5,3,561.7,225.55,7445.442,7500,
,672,400.2,1,1,5,2,384.15,403.1,13195.026,13250,
,673,380.4,        .   ,        .   ,        .   ,        .   ,364.35,422.9,13836.207,14000,
,674,380.1,        .   ,        .   ,        .   ,        .   ,364.05,423.2,13845.922,14000,
,675,397,        .   ,        .   ,        .   ,        .   ,380.95,406.3,13298.651,13500,
,676,566.3,        .   ,        .   ,        .   ,        .   ,540.4,246.85,8135.198,8250,
,677,566.3,3,1,6,2,540.4,246.85,8135.198,8250,
,678,563.9,        .   ,        .   ,        .   ,        .   ,538,249.25,8212.917,8250,
,679,396.3,        .   ,        .   ,        .   ,        .   ,380.25,407,13321.319,13500,
,680,564.6,3,1,        .   ,        .   ,538.7,248.55,8190.249,8250,
,681,400.4,3,        .   ,        .   ,        .   ,384.35,402.9,13188.549,13250,
,682,379.3,1,2,5,3,363.25,424,13871.829,14000,
,683,564.9,3,1,5,2,539,248.25,8180.534,8250,
,684,487.2,1,1,5,3,469.85,317.4,10419.811,10500,
,685,606.2,3,2,6,2,579.8,207.45,6859.311,7000,
,686,596.7,3,        .   ,        .   ,        .   ,570.9,216.35,7147.519,7250,
,687.1,395.5,        .   ,        .   ,        .   ,        .   ,379.45,407.8,13347.226,13500,
,687.2,395.5,        .   ,        .   ,        .   ,        .   ,379.45,407.8,13347.226,13500,
,688,487.6,2.4,1,6,2,470.1,317.15,10411.716,10500,
,689,379.9,1,1,6,2,363.85,423.4,13852.399,14000,
,690,379,        .   ,1,5,2,362.95,424.3,13881.544,14000,
,691,487.8,1.2,1,5,2,470.3,316.95,10405.239,10500,
,692,564.6,3,2,5,3,538.7,248.55,8190.249,8250,
,693,564.9,3,1,5,2,539,248.25,8180.534,8250,
,694,379.1,2.4,1,5,2,363.05,424.2,13878.305,14000,
,695,399.3,2,1,5,2,383.25,404,13224.171,13250,
,696,487,3,1,5,3,469.65,317.6,10426.288,10500,
,697,396.3,1,2,5,2,380.25,407,13321.319,13500,
,698,539.5,3,2,6,4,513.7,273.55,8999.821,9000,
,699,487,        .   ,        .   ,        .   ,        .   ,469.65,317.6,10426.288,10500,
,700,379.1,1,        .   ,        .   ,        .   ,363.05,424.2,13878.305,14000,
,701,381.3,1,        .   ,        .   ,        .   ,365.25,422,13807.063,14000,
,702,398.3,1,1,        .   ,        .   ,382.25,405,13256.554,13500,
,703,445.3,1,1,6,2,428.65,358.6,11753.987,12000,
,704,487.7,1,1,5,2,470.2,317.05,10408.477,10500,
,705,594.7,3,1,6,2,568.9,218.35,7212.285,7250,
,706,595.5,3,2,5,2,569.7,217.55,7186.379,7250,
,707,487.3,2.2,1,5,2,469.95,317.3,10416.573,10500,
,708,595,3,1,5,1,569.2,218.05,7202.57,7250,
,709,487.4,        .   ,        .   ,        .   ,        .   ,470.05,317.2,10413.335,10500,
,710,595.8,3,2,5,2,570,217.25,7176.664,7250,
,711,487.1,3,1,5,2,469.75,317.5,10423.05,10500,
,712,379.8,1,1,5,2,363.75,423.5,13855.637,14000,
,713,381.2,1,        .   ,        .   ,        .   ,365.15,422.1,13810.301,14000,
,714,542.5,3,1,5,2,516.7,270.55,8902.672,9000,
,715,543.5,3,1,6,4,517.7,269.55,8870.289,9000,
,716,380.1,1,1,4,1,364.05,423.2,13845.922,14000,
,717,378.4,        .   ,2,6,3,362.3,424.95,13902.592,14000,
,718,402.3,1,1,5,3,386.25,401,13127.022,13250,
,719,543,3,2,5,3,517.2,270.05,8886.481,9000,
,720,595.5,3,2,5,2,569.7,217.55,7186.379,7250,2
,721,487,3,1,5,2,469.65,317.6,10426.288,10500,
,722,543.9,3,        .   ,        .   ,        .   ,518.1,269.15,8857.336,9000,
,723,488,3,1,6,3,470.5,316.75,10398.762,10500,
,724,403.9,1,1,5,3,387.85,399.4,13075.209,13250,
,725,487.2,2.4,1,5,2,469.85,317.4,10419.811,10500,
,726,404.2,1,1,5,2,388.15,399.1,13065.494,13250,
,727,404.4,        .   ,        .   ,        .   ,        .   ,388.35,398.9,13059.018,13250,
,728,570.9,3,1,5,3,545,242.25,7986.236,8000,
,729,569,3,1,6,4,543.1,244.15,8047.764,8250,
,730.1,381.1,2.4,1,5,2,365.05,422.2,13813.539,14000,
,730.2,381.1,1,1,6,4,365.05,422.2,13813.539,14000,
,731,570.9,3,        .   ,        .   ,        .   ,545,242.25,7986.236,8000,
,732,402.5,2.2,2,6,3,386.45,400.8,13120.545,13250,
,733,487.3,3,1,5,2,469.95,317.3,10416.573,10500,4
,734,487.3,3,1,6,3,469.95,317.3,10416.573,10500,
,735,548.4,3,1,5,2,522.6,264.65,8711.613,8750,
,736,548.4,3,1,6,2,522.6,264.65,8711.613,8750,
,737,402.5,2.2,        .   ,        .   ,        .   ,386.45,400.8,13120.545,13250,
,738,379.6,1,1,5,2,363.55,423.7,13862.114,14000,
,739,379.4,1,        .   ,        .   ,        .   ,363.35,423.9,13868.59,14000,
,740,380,1,        .   ,        .   ,        .   ,363.95,423.3,13849.161,14000,
,741,546.1,3,2,5,3,520.3,266.95,8786.094,9000,
,742,487.7,1,1,5,1,470.2,317.05,10408.477,10500,
,743,400,2,        .   ,        .   ,        .   ,383.95,403.3,13201.503,13250,
,744,476,1,2,5,2,458.65,328.6,10782.5,11000,
,745,546.1,3,2,        .   ,        .   ,520.3,266.95,8786.094,9000,
,746.1,546.1,3,1,6,5,520.3,266.95,8786.094,9000,
,746.2,546.1,3,2,5,3,520.3,266.95,8786.094,9000,
,747,546.1,3,2,5,2,520.3,266.95,8786.094,9000,
,748,403.9,1.2,2,5,3,387.85,399.4,13075.209,13250,
,749,500,        .   ,        .   ,        .   ,        .   ,481.8,305.45,10032.836,10250,
,750,546.1,3,2,6,4,520.3,266.95,8786.094,9000,
,751,410,3,1,5,        .   ,393.4,393.85,12895.484,13000,1
,752,569.8,3,1,5,2,543.9,243.35,8021.857,8250,
,753,489.2,1,2,        .   ,        .   ,471.7,315.55,10359.903,10500,
,754,381.4,1,        .   ,        .   ,        .   ,365.35,421.9,13803.825,14000,
,755,378.7,1,1,5,2,362.6,424.65,13892.878,14000,
,756,488.2,1,2,5,3,470.7,316.55,10392.286,10500,
,757,569.7,3,2,5,3,543.8,243.45,8025.096,8250,
,758,545.9,3,1,5,2,520.1,267.15,8792.571,9000,
,759,545.9,3,2,6,2,520.1,267.15,8792.571,9000,
,760,545.9,3,2,6,4,520.1,267.15,8792.571,9000,
,761,545.9,3,1,5,2,520.1,267.15,8792.571,9000,
,762,570,3,3,        .   ,        .   ,544.1,243.15,8015.381,8250,
,763,569.7,3,1,5,2,543.8,243.45,8025.096,8250,
,764,489.3,2.2,1,5,2,471.8,315.45,10356.665,10500,
,765,546.9,3,2,6,4,521.1,266.15,8760.188,9000,
,766,385,1.8,        .   ,5,3,368.95,418.3,13687.246,13750,
,767,546.9,3,2,5,3,521.1,266.15,8760.188,9000,
,768,546.9,3,        .   ,        .   ,        .   ,521.1,266.15,8760.188,9000,
,769,387.1,        .   ,        .   ,        .   ,        .   ,371.05,416.2,13619.242,13750,1
,770,546.9,3,1,5,2,521.1,266.15,8760.188,9000,
,771.1,394.5,1,2,5,3,378.45,408.8,13379.609,13500,3
,771.2,394.5,        .   ,        .   ,        .   ,        .   ,378.45,408.8,13379.609,13500,
,772,546.9,3,        .   ,        .   ,        .   ,521.1,266.15,8760.188,9000,
,773.1,369.6,3,0,5,2,353.5,433.75,14187.562,14250,
,773.2,369.6,        .   ,        .   ,        .   ,        .   ,353.5,433.75,14187.562,14250,
,774,404.7,2.4,1,5,2,388.65,398.6,13049.303,13250,
,775,385.5,1,2,5,2,369.45,417.8,13671.055,13750,
,776.1,385.5,1,        .   ,        .   ,        .   ,369.45,417.8,13671.055,13750,
,776.2,385.5,1,        .   ,        .   ,        .   ,369.45,417.8,13671.055,13750,
,777.1,385.2,1,2,6,3,369.15,418.1,13680.77,13750,
,777.2,385.2,1.4,2,5,3,369.15,418.1,13680.77,13750,
,778,546.9,3,1,5,2,521.1,266.15,8760.188,9000,
,779,488.7,1,1,5,3,471.2,316.05,10376.094,10500,
,780,391.1,2.2,1,        .   ,        .   ,375.05,412.2,13489.71,13500,
,781,392.2,1,1,5,3,376.15,411.1,13454.089,13500,
,782,404.2,1,1,6,1,388.15,399.1,13065.494,13250,
,783,385.7,1,        .   ,        .   ,        .   ,369.65,417.6,13664.578,13750,
,784,403.3,1,2,5,3,387.25,400,13094.639,13250,
,785,571.5,3,0,5,2,545.6,241.65,7966.807,8000,
,786,386.7,        .   ,        .   ,        .   ,        .   ,370.65,416.6,13632.195,13750,
,787.1,387.2,1,0,5,3,371.15,416.1,13616.004,13750,
,787.2,387.2,1,        .   ,        .   ,        .   ,371.15,416.1,13616.004,13750,
,787.3,387.2,1,        .   ,        .   ,        .   ,371.15,416.1,13616.004,13750,
,788,550.9,3,1,6,4,525.1,262.15,8630.656,8750,
,789,571,3,2,5,3,,,,,
,790,388.8,1,1,5,2,,,,,
,791,402.2,2.4,3,5,3,,,,,
,793,385.7,,1,6,2,,,,,
,794,385.3,1.8,2,,,,,,,
,795,404.1,1,2,,,,,,,
,796,551.5,3,1,5,2,,,,,
,797,407.2,3,3,5,2,,,,,
,798,573.5,3,3,5,3,,,,,
,799,407.3,1,0,7,4,,,,,
,800,573.8,3,3,5,3,,,,,
,801,402.8,1,,,,,,,,
,802,491.6,3,1,5,1,,,,,
,803,383.8,1,3,6,3,,,,,
,804,385.2,2.2,1,5,2,,,,,
,805,451.3,3,,,,,,,,3
,806,383.9,1,2,5,3,,,,,
,807,385.6,0,1,5,2,,,,,
,808,384.2,1,1,6,3,,,,,
,809,493.9,3,1,5,1,,,,,
,810,407.8,1,2,5,3,,,,,3
,811,408,0,1,,,,,,,
,812,557.4,3,1,5,3,,,,,
,813,492.8,1,,5,2,,,,,
,814,408,1,1,5,3,,,,,
,816,550.4,3,1,,,,,,,
,817,552.8,3,2,5,3,,,,,
,818,553.3,3,1,6,3,,,,,
,820,384,1.2,1,5,2,,,,,
,821,402.8,2.4,2,5,2,,,,,
,823,488.4,1.4,1,5,3,,,,,
,825,555.3,3,2,6,4,,,,,
,826,383.9,3,,,,,419.4,13722.87,13750,1
,827,383.9,1,2,5,2,,,,,
,828,490,1,0,5,2,,,,,
,829,401.7,3,0,5,2,,,,,
,830,555.3,3,,,,,,,,
,831,384.1,1,0,5,2,,,,,
,832,383.6,1,2,5,3,,,,,1
,833,574.4,3,2,5,2,,,,,
,836,556,3,,,,,,,,
,837,556,3,2,5,3,,,,,
,838,488.8,1,,,,,,,,
,839,387.1,1.6,,,,,,,,
,840,382.9,2.4,1,,,,,,,
,841,556,3,,,,,,,,
,842,406.2,1,2,5,3,,,,,
,843,574.5,3,1,5,2,,,,,
,844,384.5,3,1,5,2,368.45,418.8,13703.438,13750,
,845.1,404,2,3,5,3,387.95,399.3,13071.971,13250,
