"LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"L0895",557.3,229.95,7587.927,7750
"L0896",473.6,313.65,10298.375,10500
"L0897",475.8,311.45,10227.133,10250
"L0898",531.5,255.75,8423.405,8500
"L0899",532.5,254.75,8391.023,8500
"L0900",370.35,416.9,13641.91,13750
"L0901",370.25,417,13645.148,13750
"L0902",369.75,417.5,13661.34,13750
"L0903",476,311.25,10220.657,10250
"L0904",556.3,230.95,7620.309,7750
"L0905",551.6,235.65,7772.509,8000
"L0906",369.65,417.6,13664.578,13750
"L0907",370.75,416.5,13628.957,13750
"L0908",531.7,255.55,8416.929,8500
"L0909",436.5,350.75,11499.781,11500
"L0910",389.25,398,13029.873,13250
"L0911",556.3,230.95,7620.309,7750
"L0912",477.1,310.15,10185.035,10250
"L0913",368.25,419,13709.914,13750
"L0914",390.25,397,12997.49,13000
"L0915",531.7,255.55,8416.929,8500
"L0916",368.05,419.2,13716.391,13750
"L0917",368.85,418.4,13690.484,13750
"L0918",557.2,230.05,7591.165,7750
"L0919",531.7,255.55,8416.929,8500
"L0920",477.3,309.95,10178.559,10250
"L0921",375.45,411.8,13476.757,13500
"L0922",392.6,394.65,12921.391,13000
"L0923",373.85,413.4,13528.57,13750
"L0924",477.4,309.85,10175.32,10250
"L0925",435,352.25,11548.355,11750
"L0926",391,396.25,12973.203,13000
"L0927",532.6,254.65,8387.784,8500
